source_article,logical_fallacies,label
"In a recent list of the 25 cleanest cities in the world , the only country to boast three cities among the cleanest on the planet was the United States of America , with Chicago coming in second place , Honolulu coming in fourth , and Portland , OR , coming in sixteenth . Unsurprisingly , no cities from China , Russia or India made the list at all . Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India .",fallacy of relevance,1
"According to the World Wildlife Fund, protecting biodiversity helps stabilize ecosystems affected by climate shifts.",fallacy of credibility,0
Of course Marx' theories about the ideal society are bunk. The guy spent all his time in the library.,ad hominem,1
Science fiction books are not worth the time it takes to read them.,faulty generalization,1
Surveys show interest in early math interventions.,ad populum,0
"If urban green spaces increase, air quality in cities will improve.",fallacy of logic,0
I've had bad luck for so long that I'm bound to have good luck now.,false causality,1
Protecting forests safeguards habitats and carbon stocks.,fallacy of relevance,0
Community engagement fosters support for climate initiatives.,false dilemma,0
"Hannah argues that because her friend was brainwashed as a child into thinking that people are generally good, people are not generally good.
Name that fallacy:",ad hominem,1
"If curricula include critical thinking, problem-solving skills develop.",fallacy of logic,0
People who don't like K-pop are racist.,ad hominem,1
The article evaluates climate finance mechanisms thoughtfully; more stakeholder perspectives would enrich it.,ad hominem,0
The research highlights digital literacy; considering accessibility challenges is important.,ad hominem,0
You can either start using plastic straws or continue killing ocean life with plastic pollution.,false dilemma,1
"Contents of the emails suggested scientists had been hiding or manipulating data , preventing people accessing their figures and working to stop papers critical of their findings from being published .",ad hominem,1
"Stratospheric ozone measurements show partial recovery in some regions, but climate feedback loops remain a concern.",faulty generalization,0
"""If you lie, than you will end up in jail."" Is an example of...",faulty generalization,1
"This is usually used in a company's slogan, using words that are very vague and nonspecific, but sound really nice. ex: ""Eat Fresh."" ""Expect More. Pay Less.""",appeal to emotion,1
aliens must have visited Earth,fallacy of logic,1
Shifting to circular economies supports resource efficiency and job creation.,false dilemma,0
Many people support policies for reducing greenhouse gas emissions.,ad populum,0
"The author carefully outlines mitigation strategies, though exploring potential unintended consequences would be valuable.",ad hominem,0
Use of collaborative technology supports group work.,fallacy of logic,0
Positive school climates improve attendance.,false dilemma,0
Educational equity efforts reduce achievement gaps.,false causality,0
"If teachers model critical thinking, students learn to analyze better.",fallacy of logic,0
"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles. Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a “spiritual” one. Once you accept that, you won’t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature. So you better take the story of Adam and Eve literally, before the phrase, “that chicken looks delicious”, takes on a whole new meaning.",faulty generalization,1
Public attitudes toward nuclear energy vary widely.,ad populum,0
"Maury: Please put all my chips on red 21.
Dealer: Are you sure you want to do that?  Red 21 just came up in the last spin.
Maury:  I didn’t know that!  Thank you!  Put it on black 15 instead.  I can’t believe I almost made that mistake!",false causality,1
